title,titleUrl,time,channel_name,channel_id,video_id,video_tag
Watched 【School Labyrinth】 MASUK SEKOLAH BERHANTU BARENG TIM BOROX?!!! @WindahBasudara @LuthfiHalimawan,https://www.youtube.com/watch?v=IKo_Yse38z4,2024-03-13T13:03:34.960Z,Kobo Kanaeru Ch. hololive-ID,UCjLEmnpCNeisMxy134KPwWw,IKo_Yse38z4,"['indo', 'indonesia', 'indonesian', 'scary', 'horor', 'takut', 'seram', 'menegangkan', 'hide', 'stealth', 'scared', 'menakutkan', 'jumpscare', 'scare', 'shock', 'scream', 'jumpscares', 'serem', 'tegang', 'jump', 'first', 'person', 'story', 'cerita', ""chilla's art"", 'shout', 'screaming', 'shouting', 'shook', 'shocked', 'tense', 'kobokan', 'anime', 'kaget', 'shocking', 'ghost', 'hantu', 'thriller', 'psychological', 'survival', 'ending', 'endings', 'multiple endings', 'fps', 'first person', 'mystery', 'dark', 'mysterious', 'supernatural', 'windah', 'bang windah', 'luthfi', 'halimawan', 'bang upi', 'upi', 'youtuber', 'bang win', 'kobo', 'kanaeru']"
Watched (This Episode is on FIRE) Cuplikan Classroom of the Elite S3 Eps 11,https://www.youtube.com/watch?v=dZ4XLqYc1UU,2024-03-13T13:02:08.530Z,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,dZ4XLqYc1UU,"['YoukosoJitsuryokuShijouShuginoKyoushitsue', 'ClassroomoftheElite', 'AyanokoujiKiyotaka', 'HoritakaSuzune', 'StudioLerche', 'Psychological', 'Gratis', 'AnimeSubIndo', 'Muse', 'KitouAkari', 'TouyamaNao', 'Keren', 'DiRumahAja']"
Watched Classroom Of The Elite S3 - Episode 01 [Takarir Indonesia],https://www.youtube.com/watch?v=TS0MjoYqW2Y,2024-03-13T13:01:46.825Z,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,TS0MjoYqW2Y,"['YoukosoJitsuryokuShijouShuginoKyoushitsue', 'ClassroomoftheElite', 'AyanokoujiKiyotaka', 'HoritakaSuzune', 'StudioLerche', 'Psychological', 'Gratis', 'AnimeSubIndo', 'Muse', 'KitouAkari', 'TouyamaNao', 'Keren', 'DiRumahAja']"
Watched Classroom of the Elite S2 - Episode 01 [Takarir Indonesia],https://www.youtube.com/watch?v=Vhq23ZeWdjc,2024-03-13T13:01:31.858Z,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,Vhq23ZeWdjc,"['YoukosoJitsuryokuShijouShuginoKyoushitsue', 'ClassroomoftheElite', 'AyanokoujiKiyotaka', 'HoritakaSuzune', 'StudioLerche', 'Psychological', 'Gratis', 'AnimeSubIndo', 'Muse', 'KitouAkari', 'TouyamaNao', 'Keren', 'DiRumahAja']"
Watched Classroom of the Elite S2 - Episode 13 [Takarir Indonesia],https://www.youtube.com/watch?v=mA46Cowqfek,2024-03-13T13:01:25.855Z,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,mA46Cowqfek,"['YoukosoJitsuryokuShijouShuginoKyoushitsue', 'ClassroomoftheElite', 'AyanokoujiKiyotaka', 'HoritakaSuzune', 'StudioLerche', 'Psychological', 'Gratis', 'AnimeSubIndo', 'Muse', 'KitouAkari', 'TouyamaNao', 'Keren', 'DiRumahAja']"
Watched SABATON -  The Lost Battalion   (OFFICIAL LYRIC VIDEO),https://www.youtube.com/watch?v=7jTgkTEDDog,2024-03-13T13:00:37.312Z,Nuclear Blast Records,UCoxg3Kml41wE3IPq-PC-LQw,7jTgkTEDDog,"['sabaton', 'new sabaton album', 'sabaton 2014', 'swedish empire', 'nuclear blast', 'power metal', 'joakim broden', 'sabaton drums', 'Nuclear Blast (Organization)', 'metal', 'abyss studio', 'Peter Tägtgren (Record Producer)', 'nightwitches', 'regiment 588', 'night witches', 'heroes on tour', 'sabaton full album', 'sabaton live', 'Resist and Bite', 'swedish pagans', 'panzerkampf', 'carolus rex', 'rockavaria', 'rock im revier', 'sabaton tour', 'the last stand', 'sabaton the last stand full album', 'the last stand full album']"
Watched SABATON - Ghost Division (Official Lyric Video),https://www.youtube.com/watch?v=ICfzQVh3lvs,2024-03-13T12:56:44.927Z,Sabaton,UCjQhd1APsd5NQhiVZV7GYzg,ICfzQVh3lvs,"['sabaton', 'сабатон', 'heavy metal', 'metal', 'ghost division', 'ghost division sabaton', 'ghost division lyrics', 'ghost division music video', 'sabaton ghost division', 'sabaton ghost division lyrics', 'sabaton ghost division music video', 'ghost division lyric video', 'panzer division', 'panzer division sabaton', 'panzer division song', 'erwin rommel', '7th panzer division', '7th panzer division ghost division', '7th panzer division song', '7th panzer regiment', 'sabaton the art of war full album']"
Watched SABATON - Resist And Bite (OFFICIAL LYRIC VIDEO),https://www.youtube.com/watch?v=iGtEH1i78sI,2024-03-13T12:52:57.543Z,Nuclear Blast Records,UCoxg3Kml41wE3IPq-PC-LQw,iGtEH1i78sI,"['sabaton', 'new sabaton album', 'sabaton 2014', 'swedish empire', 'nuclear blast', 'power metal', 'joakim broden', 'sabaton drums', 'Nuclear Blast (Organization)', 'metal', 'abyss studio', 'Peter Tägtgren (Record Producer)', 'chris huszar', 'david havlena', 'sabaton tour 2015', 'sabaton tour']"
Watched Polisi Anti Teror Yang Malah Meneror Warga! Didanai Amerika! RAB Bangladesh! | Learning By Googling,https://www.youtube.com/watch?v=kcIq4HyISyw,2024-03-13T12:02:01.366Z,Sepulang Sekolah,UCfQHaUbD0oEBH_FRYHE5qIg,kcIq4HyISyw,"['sepulang sekolah', 'koi', 'jui', 'SMA', 'pelajar', 'komedi', 'comedy', 'standup', 'web series', 'bogor', 'indonesia', 'belajar', 'learning by googling', 'learning by google', 'learning with google', 'koide', 'koide namizo', 'koiyocabe', 'koiyo cabe', 'koyocabe', 'koyo cabe', 'history', 'sejarah', 'budaya', 'culture', 'asia tenggara', 'south east asia', 'story telling', 'storytelling', 'penjelasan', 'RAB', 'Bangladesh', 'Rapid', 'Action Battalion', 'polisi', 'antiteror', 'teror', 'USA', 'UK']"
Watched Semua episode Cautious Hero: The Hero Is Overpowered but Overly Cautious [Takarir Indonesia],https://www.youtube.com/watch?v=oSAXzKWRu3I,2024-03-13T09:22:39.170Z,Muse ID Best Anime Collection,UCjcAfwNEjkXA352e2uMt5Jg,oSAXzKWRu3I,"['ShinchouYuusha', 'KonoYuusha', 'RyuuguuinSeiya', 'Listarte', 'Action', 'Ngakak', 'Anime', 'Streaming', 'PSBB', 'DiRumahAja']"
