short_id,short_headline,short_view_count,url,time_record
14Kt7r21WS0,"['naruto', 'squad', 'reaction', 'on', 'komi', 'x', 'tadano😁😁😁']",1300000,/shorts/14Kt7r21WS0,2024-03-13 23:04:58.067234
uIczkJ02OIw,"['sadly,', 'we', 'all', 'know', 'who’s', 'going', 'to', 'win', '🥲', '-', 'wahlberg', 'vs', 'innocent', 'zero', '-', 'mashle']",203000,/shorts/uIczkJ02OIw,2024-03-13 23:04:58.067234
gClWHK6fFBQ,"['maomao', 'is', 'just', 'like', 'me', 'when', 'it', 'comes', 'to', 'exams', 'and', 'studying', '#theapothecarydiaries', '#anime']",255000,/shorts/gClWHK6fFBQ,2024-03-13 23:04:58.067234
IBOeoE6Dx_M,"['shooting', 'too', 'close', 'to', 'a', 'steel', 'target..🤯', '#yxg', '#shorts']",2300000,/shorts/IBOeoE6Dx_M,2024-03-13 23:04:58.067234
YaQEUgIr4Mk,"['logistic', 'vs', 'logit', 'functions']",9900,/shorts/YaQEUgIr4Mk,2024-03-13 23:04:58.067234
wSJfuIU1oo4,"['the', 'strangest', 'planes']",99000,/shorts/wSJfuIU1oo4,2024-03-13 23:04:58.067234
irAbO9Idm0k,"['peter', 'stops', 'ww2🤯', '||', '#familyguy', '#shorts']",27000000,/shorts/irAbO9Idm0k,2024-03-13 23:04:58.067234
ZKcKEqyCB2c,"['did', 'you', 'know', 'that', 'kyoshi...', '🤯', '(part', '2)', '|', 'avatar', '#shorts']",2400000,/shorts/ZKcKEqyCB2c,2024-03-13 23:04:58.067234
dlgtTVqddPY,"['submarine', 'sniper', '(the', 'end', '🎯)']",22000000,/shorts/dlgtTVqddPY,2024-03-13 23:04:58.067234
jSUogbwpgWI,"['he', 'never', 'fails', 'to', 'tease', 'her🤣🤣', '[maomao', 'and', 'jinshi]', '-', 'apothecary', 'diaries', '#animefunny', '#viral', '#fyp']",968000,/shorts/jSUogbwpgWI,2024-03-13 23:04:58.067234
iuShCV_QI_c,"['for', 'knife', 'blade', 'lover']",3100000,/shorts/iuShCV_QI_c,2024-03-13 23:04:58.067234
YJ9PihnoFmU,"['spending', '1,000,000', 'in', 'vietnam', '🇻🇳', '-', 'capsule', 'hotel', 'and', 'cafe']",1100000,/shorts/YJ9PihnoFmU,2024-03-13 23:04:58.067234
i5J6-fayenY,"['the', 'explosive', 'power', 'of', ""america's"", 'mine', 'destroyer', '(m154)']",53000000,/shorts/i5J6-fayenY,2024-03-13 23:04:58.067234
L52PFsTNlkI,"['thank', 'you', 'scott…..', 'for', 'everything', '#shorts', '#fnaf']",6600000,/shorts/L52PFsTNlkI,2024-03-13 23:04:58.067234
TIXpAHkgqQM,"['hololive', 'kobo', 'kanaeru', 'realistic', 'ai', 'generated']",110000,/shorts/TIXpAHkgqQM,2024-03-13 23:04:58.067234
YJ9PihnoFmU,"['spending', '1,000,000', 'in', 'vietnam', '🇻🇳', '-', 'capsule', 'hotel', 'and', 'cafe']",1100000,/shorts/YJ9PihnoFmU,2024-03-13 23:04:58.067234
zqh6JiGLSt0,"['cool', 'off', 'with', 'big', 'ounce', '@theurbanrescueranch']",28000000,/shorts/zqh6JiGLSt0,2024-03-13 23:04:58.067234
jSUogbwpgWI,"['he', 'never', 'fails', 'to', 'tease', 'her🤣🤣', '[maomao', 'and', 'jinshi]', '-', 'apothecary', 'diaries', '#animefunny', '#viral', '#fyp']",968000,/shorts/jSUogbwpgWI,2024-03-13 23:04:58.067234
DxN6u3_MkuQ,"['sok”an', 'cinta', 'lo', 'dek,', 'rapor', 'lu', 'benerin', 'dlo', '#cover', '#mosawo', '#koiiro']",718000,/shorts/DxN6u3_MkuQ,2024-03-13 23:04:58.067234
wtLQUjfomig,"['the', 'exponential', 'distribution']",62000,/shorts/wtLQUjfomig,2024-03-13 23:04:58.067234
IKdicJkPFoo,"['“who', 'are', 'you?”', '-', 'john', 'smith', '😎', '-', 'he’s', 'taking', 'his', 'character', 'seriously', '😂', '-', 'the', 'eminence', 'in', 'shadow', '2']",7200000,/shorts/IKdicJkPFoo,2024-03-13 23:04:58.067234
IBOeoE6Dx_M,"['shooting', 'too', 'close', 'to', 'a', 'steel', 'target..🤯', '#yxg', '#shorts']",2300000,/shorts/IBOeoE6Dx_M,2024-03-13 23:04:58.067234
J8kjbDxFmes,"['free', 'palestine', '🇵🇸']",13000000,/shorts/J8kjbDxFmes,2024-03-13 23:04:58.067234
RzXNo94EZB4,"['gura', 'gets', 'a', 'surprise!', '(gawr', 'gura', 'animated', 'saw', 'meme)']",1700000,/shorts/RzXNo94EZB4,2024-03-13 23:04:58.067234
5_0_6bWU3IE,"['again', 'a', 'mexican', 'cat!', '#shorts']",13000,/shorts/5_0_6bWU3IE,2024-03-13 23:04:58.067234
i5J6-fayenY,"['the', 'explosive', 'power', 'of', ""america's"", 'mine', 'destroyer', '(m154)']",53000000,/shorts/i5J6-fayenY,2024-03-13 23:04:58.067234
hyYJecphc44,"['someone', 'is', 'jealous', '🤭😂', '[maomao', 'and', 'jinshi]', '-', 'the', 'apothecary', 'diaries', '#animeedit', '#viral', '#fyp']",412000,/shorts/hyYJecphc44,2024-03-13 23:04:58.067234
T9hIAVbaipc,"['how', 'israelis', 'really', 'feel', 'about', 'palestinians', '🇵🇸']",237000,/shorts/T9hIAVbaipc,2024-03-13 23:04:58.067234
YaQEUgIr4Mk,"['logistic', 'vs', 'logit', 'functions']",9900,/shorts/YaQEUgIr4Mk,2024-03-13 23:04:58.067234
RzXNo94EZB4,"['gura', 'gets', 'a', 'surprise!', '(gawr', 'gura', 'animated', 'saw', 'meme)']",1700000,/shorts/RzXNo94EZB4,2024-03-13 23:04:58.067234
Ln_jQL8HOn0,"['why', 'kobo', 'kanaeru', 'hitting', '1', 'million', 'subscribers', 'is', 'actually', 'a', 'big', 'deal.']",1100000,/shorts/Ln_jQL8HOn0,2024-03-13 23:04:58.067234
W5zpxS1-vxQ,"['om', 'dedy', 'corbuzier', 'usil', 'deh', 'sama', 'istri', '#dedycorbuzier', '#sabrina', '#shorts']",1400000,/shorts/W5zpxS1-vxQ,2024-03-13 23:04:58.067234
q9bBVQ__HQg,"['kevin', 'is', 'a', 'terrible', 'father', '@theurbanrescueranch']",7000000,/shorts/q9bBVQ__HQg,2024-03-13 23:04:58.067234
PIVFzg7iCnY,"['[#holoid03]', 'kobo', 'kanaeru', '-', 'at', 'your', 'service!', '[hololive', 'indonesia', '3rd', 'gen', 'debut', 'teaser]']",955000,/shorts/PIVFzg7iCnY,2024-03-13 23:04:58.067234
mQymnWhzX_Y,"['did', 'you', 'know', 'that', 'toph...', '⛰', '(part', '5)', '|', 'avatar', '#shorts']",1500000,/shorts/mQymnWhzX_Y,2024-03-13 23:04:58.067234
JujRxMrJABI,"['your', 'daily', 'dose', 'of', 'memes']",11000000,/shorts/JujRxMrJABI,2024-03-13 23:04:58.067234
Wq-TNnJ0Kt8,"['gura', 'singing', 'on', 'the', 'toilet']",906000,/shorts/Wq-TNnJ0Kt8,2024-03-13 23:04:58.067234
5_0_6bWU3IE,"['again', 'a', 'mexican', 'cat!', '#shorts']",13000,/shorts/5_0_6bWU3IE,2024-03-13 23:04:58.067234
TIXpAHkgqQM,"['hololive', 'kobo', 'kanaeru', 'realistic', 'ai', 'generated']",110000,/shorts/TIXpAHkgqQM,2024-03-13 23:04:58.067234
wtLQUjfomig,"['the', 'exponential', 'distribution']",62000,/shorts/wtLQUjfomig,2024-03-13 23:04:58.067234
YJ9PihnoFmU,"['spending', '1,000,000', 'in', 'vietnam', '🇻🇳', '-', 'capsule', 'hotel', 'and', 'cafe']",1100000,/shorts/YJ9PihnoFmU,2024-03-13 23:04:58.067234
